馬ID,父,父系,母,母系,母父,母父系
2015100317,ロジユニヴァース,Halo系,ペルレストラーダ,FNo.[12-c],アルデバランIIAldebaran(米),不明
2015100318,アドマイヤオーラ,Halo系,ホシニイノリヲ,FNo.[1-x],シンボリクリスエス,不明
2015100348,エスポワールシチー,Halo系,パイクーニャン,FNo.[9-h],フレンチデピュティFrenchDeputy(米),不明
2015100367,ブラックタイド,Halo系,ベネラ,FNo.[5-g],フォーティナイナーFortyNiner(米),不明
2015100416,バトルプランBattlePlan(米),Mr.Prospector系,ウーマンインレッド,FNo.[8-f],ステイゴールド,不明
2015100493,ルーラーシップ,Mr.Prospector系,トウカイベルタ,FNo.[19-b],ワイルドラッシュWildRush(米),不明
2015100509,ルーラーシップ,Mr.Prospector系,キープクワイエット,FNo.[12-f],エアジハード,不明
2015100524,ヨハネスブルグJohannesburg(米),StormBird系,タガノティアーズ,FNo.[3-o],タニノギムレット,不明
2015100533,ドリームジャーニー,Halo系,ドナフュージョン,FNo.[9-e],シンボリクリスエス,不明
2015100547,キンシャサノキセキ,Halo系,ケイアイアテナ,FNo.[9-e],AfleetAlex,不明
2015100548,ロジユニヴァース,Halo系,コヴェンティナ,FNo.[9-f],シンボリクリスエス,不明
2015100557,ヴィクトワールピサ,Halo系,ブルーレイ,FNo.[9-f],トワイニングTwining(米),不明
2015100559,ルーラーシップ,Mr.Prospector系,プリティジョディー,FNo.[12-c],ダンスインザダーク,不明
2015100635,ディープインパクト,Halo系,ルシュクル,FNo.[4-m],サクラバクシンオー,不明
2015100637,ダイワメジャー,Halo系,レスレクシオン,FNo.[2-b],Mt.Livermore,不明
2015100659,ストロングリターン,Roberto系,サザンレイスター,FNo.[4-n],サザンヘイローSouthernHalo(米),不明
2015100670,ベーカバドBehkabad(仏),Danzig系,ピュアドリーム,FNo.[5-h],オースOath(愛),不明
2015100744,ステイゴールド,Halo系,マイネテレジア,FNo.[6-b],ロージズインメイRosesinMay(米),不明
2015100748,ハーツクライ,Halo系,マイネヌーヴェル,FNo.[6-b],ブライアンズタイムBrian'sTime(米),不明
2015100751,ステイゴールド,Halo系,マイネプリンセス,FNo.[3-l],アグネスデジタル,不明
2015100822,ベーカバドBehkabad(仏),Danzig系,ハロードリーム,FNo.[4-d],ブライアンズタイムBrian'sTime(米),不明
2015100831,ハーツクライ,Halo系,アフェランドラ,FNo.[9-f],エルコンドルパサー,不明
2015100849,タートルボウルTurtleBowl(愛),NorthernDancer系,チーズマヨ,FNo.[23-b],シンボリクリスエス,不明
2015100887,ベーカバドBehkabad(仏),Danzig系,メジロルーシュバー,FNo.[4-r],アグネスタキオン,不明
2015100894,ヘニーヒューズHennyHughes(米),StormBird系,ゼフィランサス,FNo.[1-b],キングヘイロー,不明
2015100902,トビーズコーナーToby'sCorner(米),Danzig系,ラヴソースウィート,FNo.[14-f],スペシャルウィーク,不明
2015100918,ヘニーヒューズHennyHughes(米),StormBird系,セイントブルックSaintBrook(米),FNo.[18],SaintBallado,不明
2015100942,エスポワールシチー,Halo系,コンドルウイング,FNo.[23-b],エルコンドルパサー,不明
2015100958,カネヒキリ,Halo系,ゴッドビラブドミー,FNo.[3-d],ブライアンズタイムBrian'sTime(米),不明
2015100969,ロードカナロア,Mr.Prospector系,ウェーブクイーン,FNo.[7-c],サッカーボーイ,不明
2015101014,ヘニーヒューズHennyHughes(米),StormBird系,アンティークカラー,FNo.[12-c],アグネスタキオン,不明
2015101028,ロードカナロア,Mr.Prospector系,キルシュワッサー,FNo.[20-b],サクラバクシンオー,不明
2015101034,キンシャサノキセキ,Halo系,ビーラヴリー,FNo.[8-h],ヨハネスブルグJohannesburg(米),不明
2015101046,ゴールドアリュール,Halo系,ホウショウルビー,FNo.[1-k],デザートキングDesertKing(愛),不明
2015101105,ローエングリン,sWells系,トーセンガラシャ,FNo.[1-x],デュランダル,不明
2015101170,ゴールドアリュール,Halo系,ヨウヨウ,FNo.[6-a],マヤノトップガン,不明
2015101185,ディープインパクト,Halo系,マネーペニーMoneypenny(米),FNo.[3-c],Monarchos,不明
2015101209,サウスヴィグラス,Mr.Prospector系,ユキノチャンプ,FNo.[4],タバスコキャットTabascoCat(米),不明
2015101257,クロフネ,DeputyMinister系,ラフェクレール,FNo.[14-b],スペシャルウィーク,不明
2015101281,マツリダゴッホ,Halo系,ラヴフルーヴ,FNo.[3-n],アラジArazi(米),不明
2015101320,ルーラーシップ,Mr.Prospector系,マッキーパシオン,FNo.[2-d],ダンスインザダーク,不明
2015101339,エンパイアメーカーEmpireMaker(米),Mr.Prospector系,グレイスティアラ,FNo.[2-d],フジキセキ,不明
2015101341,オルフェーヴル,Halo系,ゴッドフェニックス,FNo.[16-h],ブライアンズタイムBrian'sTime(米),不明
2015101342,ディープインパクト,Halo系,ゴーカロライナGoCarolina(米),FNo.[10-d],Rahy,不明
2015101367,ルーラーシップ,Mr.Prospector系,ツルマルハロー,FNo.[1-k],アグネスデジタル,不明
2015101377,カジノドライヴ,SeattleSlew系,ビッグマリーン,FNo.[1-l],フジキセキ,不明
2015101382,クロフネ,DeputyMinister系,ブライダルブーケ,FNo.[2-d],ゴールドアリュール,不明
2015101386,ダイワメジャー,Halo系,プティプランセス,FNo.[1-n],キングカメハメハ,不明
2015101404,ヴァーミリアン,Mr.Prospector系,ランウェイスナップ,FNo.[1-n],DistantView,不明
2015101447,エイシンフラッシュ,Mr.Prospector系,ホーネットピアス,FNo.[9-f],サンデーサイレンスSundaySilence(米),不明
2015101467,スクリーンヒーロー,Roberto系,シャンハイロック,FNo.[2-f],ロックオブジブラルタル,不明
2015101532,ブラックタイド,Halo系,ピシーズクイーン,FNo.[16-e],アグネスデジタル,不明
2015101568,モンテロッソMonterosso(英),Mr.Prospector系,アドニータAdonita(英),FNo.[7-f],Singspiel(愛),不明
2015101581,ストーミングホームStormingHome(英),Mr.Prospector系,ヴァレッタValletta(英),FNo.[14-c],CapeCross,不明
2015101592,ステイゴールド,Halo系,オータムメロディーAutumnMelody(仏),FNo.[4-m],Kingmambo(米),不明
2015101599,Shamardal(米),StormBird系,グレイトタイミングGreatTiming(米),FNo.[23-b],Raven'sPass,不明
2015101602,Shamardal(米),StormBird系,コズミックフレイムCosmicFlame(英),FNo.[10-a],Doyen(愛),不明
